Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D10,SS54,D_SMA,206.441712,-123.0,180.0,top
D11,SS54,D_SMA,221.36314,-123.0,180.0,top
D12,SS54,D_SMA,236.284568,-123.0,180.0,top
D13,SS54,D_SMA,251.206,-123.0,180.0,top
D2,DIODE,TO-220-2_Horizontal_TabDown,249.0,-97.539999,90.0,top
D6,SS54,D_SMA,146.756,-123.0,180.0,top
D7,SS54,D_SMA,161.677428,-123.0,180.0,top
D8,SS54,D_SMA,176.598856,-123.0,180.0,top
D9,SS54,D_SMA,191.520284,-123.0,180.0,top
J1,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,161.677428,-131.909,180.0,top
J14,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Vertical,254.531,-97.828532,180.0,top
J15,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,146.756,-131.909,180.0,top
J3,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,176.598856,-131.909,180.0,top
J4,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,191.520284,-131.909,180.0,top
J5,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,206.441712,-131.909,180.0,top
J6,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,221.36314,-131.909,180.0,top
J7,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,236.284568,-131.909,180.0,top
J8,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,251.206,-131.909,180.0,top
J9,Barrel_Jack_Switch,DC-005-5A-2.0-SMT,220.0,-98.05,0.0,top
Q10,AO3400A,SOT-23,219.78314,-118.0415,180.0,top
Q11,AO3400A,SOT-23,234.704568,-118.0415,180.0,top
Q12,AO3400A,SOT-23,249.626,-118.0415,180.0,top
Q5,AO3400A,SOT-23,145.176,-118.0415,180.0,top
Q6,AO3400A,SOT-23,160.097428,-118.0415,180.0,top
Q7,AO3400A,SOT-23,175.018856,-118.0415,180.0,top
Q8,AO3400A,SOT-23,189.940284,-118.0415,180.0,top
Q9,AO3400A,SOT-23,204.861712,-118.0415,180.0,top
R10,R_Small,R_0805_2012Metric,223.91314,-118.0215,-90.0,top
R11,R_Small,R_0805_2012Metric,238.834568,-118.0215,-90.0,top
R12,R_Small,R_0805_2012Metric,253.756,-118.0215,-90.0,top
R5,R_Small,R_0805_2012Metric,149.306,-118.0215,-90.0,top
R6,R_Small,R_0805_2012Metric,164.227428,-118.0215,-90.0,top
R7,R_Small,R_0805_2012Metric,179.148856,-118.0215,-90.0,top
R8,R_Small,R_0805_2012Metric,194.070284,-118.0215,-90.0,top
R9,R_Small,R_0805_2012Metric,208.991712,-118.0215,-90.0,top
U1,Teensy4.1,Teensy41,169.55,-98.974,0.0,top
